mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.29,0.64,5.381,0.331,0.63,0.497,6.839,68.749,0.0
6.41,0.683,3.079,0.292,0.592,0.41,4.372,45.361,0.0
7.75,0.709,1.984,0.258,0.558,0.364,3.164,55.63,0.0
7.86,0.75,1.738,0.234,0.509,0.339,2.82,55.797,0.0
8.034,0.754,1.421,0.235,0.506,0.336,2.498,55.707,0.0
8.694,0.775,1.351,0.21,0.491,0.307,2.358,56.052,0.0
8.957,0.77,1.14,0.208,0.474,0.312,2.133,56.404,0.0
8.9,0.782,1.186,0.215,0.454,0.307,2.162,56.214,0.0
8.865,0.791,1.165,0.198,0.439,0.302,2.103,56.363,0.0
9.105,0.8,1.025,0.193,0.437,0.278,1.934,56.619,0.0
